row_index,life_stage,risk_level,need,status,llm_w_cash,llm_w_bond,llm_w_equity,llm_w_commodity,exp_w_cash,exp_w_bond,exp_w_equity,exp_w_commodity,diff_cash,diff_bond,diff_equity,diff_commodity,total_diff,llm_vol,exp_vol,api_latency_ms,errors
0,刚毕业,C1,保值,constraint_mismatch,,,,,22,69,2,7,,,,,,,0.015616,,Constraint mismatch: CSV sigma=0.016000/cash=3/risk=10 vs Computed sigma=0.090000/cash=10/risk=29
1,刚毕业,C1,增值,constraint_mismatch,,,,,27,61,3,9,,,,,,,0.015935,,Constraint mismatch: CSV sigma=0.016000/cash=3/risk=13 vs Computed sigma=0.090000/cash=10/risk=42
2,刚毕业,C1,传承,constraint_mismatch,,,,,26,63,3,8,,,,,,,0.015748,,Constraint mismatch: CSV sigma=0.016000/cash=3/risk=11 vs Computed sigma=0.090000/cash=10/risk=35
3,单身青年,C1,保值,constraint_mismatch,,,,,27,64,3,6,,,,,,,0.015105,,Constraint mismatch: CSV sigma=0.015000/cash=4/risk=9 vs Computed sigma=0.100000/cash=5/risk=33
4,单身青年,C1,增值,constraint_mismatch,,,,,31,58,3,8,,,,,,,0.01502,,Constraint mismatch: CSV sigma=0.015000/cash=4/risk=12 vs Computed sigma=0.100000/cash=5/risk=48
5,单身青年,C1,传承,constraint_mismatch,,,,,30,60,2,8,,,,,,,0.014557,,Constraint mismatch: CSV sigma=0.015000/cash=4/risk=11 vs Computed sigma=0.100000/cash=5/risk=40
6,二人世界,C1,保值,constraint_mismatch,,,,,32,60,2,6,,,,,,,0.013686,,Constraint mismatch: CSV sigma=0.014000/cash=7/risk=8 vs Computed sigma=0.090000/cash=10/risk=29
7,二人世界,C1,增值,constraint_mismatch,,,,,36,53,3,8,,,,,,,0.014329,,Constraint mismatch: CSV sigma=0.014000/cash=7/risk=11 vs Computed sigma=0.090000/cash=10/risk=42
8,二人世界,C1,传承,constraint_mismatch,,,,,35,55,3,7,,,,,,,0.014144,,Constraint mismatch: CSV sigma=0.014000/cash=7/risk=10 vs Computed sigma=0.090000/cash=10/risk=35
9,小孩学前,C1,保值,constraint_mismatch,,,,,31,62,2,5,,,,,,,0.013686,,Constraint mismatch: CSV sigma=0.014000/cash=10/risk=7 vs Computed sigma=0.075000/cash=15/risk=25
