row_index,life_stage,risk_level,need,status,llm_w_cash,llm_w_bond,llm_w_equity,llm_w_commodity,exp_w_cash,exp_w_bond,exp_w_equity,exp_w_commodity,diff_cash,diff_bond,diff_equity,diff_commodity,total_diff,llm_vol,exp_vol,api_latency_ms,errors
0,刚毕业,C1,保值,pending,,,,,22,69,2,7,,,,,,,0.015616,,
1,刚毕业,C1,增值,pending,,,,,27,61,3,9,,,,,,,0.015935,,
2,刚毕业,C1,传承,pending,,,,,26,63,3,8,,,,,,,0.015748,,
3,单身青年,C1,保值,pending,,,,,27,64,3,6,,,,,,,0.015105,,
4,单身青年,C1,增值,pending,,,,,31,58,3,8,,,,,,,0.01502,,
5,单身青年,C1,传承,pending,,,,,30,60,2,8,,,,,,,0.014557,,
6,二人世界,C1,保值,pending,,,,,32,60,2,6,,,,,,,0.013686,,
7,二人世界,C1,增值,pending,,,,,36,53,3,8,,,,,,,0.014329,,
8,二人世界,C1,传承,pending,,,,,35,55,3,7,,,,,,,0.014144,,
9,小孩学前,C1,保值,pending,,,,,31,62,2,5,,,,,,,0.013686,,
10,小孩学前,C1,增值,pending,,,,,34,57,2,7,,,,,,,0.013605,,
11,小孩学前,C1,传承,pending,,,,,32,60,2,6,,,,,,,0.013686,,
12,小孩成年前,C1,保值,pending,,,,,30,64,2,4,,,,,,,0.013766,,
13,小孩成年前,C1,增值,pending,,,,,32,60,3,5,,,,,,,0.014159,,
14,小孩成年前,C1,传承,pending,,,,,31,62,2,5,,,,,,,0.013686,,
15,子女成年,C1,保值,pending,,,,,40,55,2,3,,,,,,,0.011959,,
16,子女成年,C1,增值,pending,,,,,41,53,1,5,,,,,,,0.011716,,
17,子女成年,C1,传承,pending,,,,,41,53,2,4,,,,,,,0.011846,,
18,退休,C1,保值,pending,,,,,50,47,1,2,,,,,,,0.009855,,
19,退休,C1,增值,pending,,,,,50,46,1,3,,,,,,,0.009848,,
20,退休,C1,传承,pending,,,,,50,46,2,2,,,,,,,0.010276,,
21,刚毕业,C2,保值,pending,,,,,3,85,7,5,,,,,,,0.023285,,
22,刚毕业,C2,增值,pending,,,,,3,80,7,10,,,,,,,0.024108,,
23,刚毕业,C2,传承,pending,,,,,3,82,7,8,,,,,,,0.023657,,
24,单身青年,C2,保值,pending,,,,,4,84,7,5,,,,,,,0.023164,,
25,单身青年,C2,增值,pending,,,,,4,80,6,10,,,,,,,0.022554,,
26,单身青年,C2,传承,pending,,,,,4,82,6,8,,,,,,,0.022078,,
27,二人世界,C2,保值,pending,,,,,7,82,6,5,,,,,,,0.021289,,
28,二人世界,C2,增值,pending,,,,,7,78,5,10,,,,,,,0.02094,,
29,二人世界,C2,传承,pending,,,,,7,80,5,8,,,,,,,0.020427,,
30,小孩学前,C2,保值,pending,,,,,10,81,5,4,,,,,,,0.019521,,
31,小孩学前,C2,增值,pending,,,,,10,77,6,7,,,,,,,0.02114,,
32,小孩学前,C2,传承,pending,,,,,10,79,5,6,,,,,,,0.019668,,
33,小孩成年前,C2,保值,pending,,,,,8,84,6,2,,,,,,,0.021158,,
34,小孩成年前,C2,增值,pending,,,,,8,81,6,5,,,,,,,0.021157,,
35,小孩成年前,C2,传承,pending,,,,,8,83,5,4,,,,,,,0.019818,,
36,子女成年,C2,保值,pending,,,,,9,85,2,4,,,,,,,0.017664,,
37,子女成年,C2,增值,pending,,,,,11,80,3,6,,,,,,,0.017751,,
38,子女成年,C2,传承,pending,,,,,10,82,3,5,,,,,,,0.017829,,
39,退休,C2,保值,pending,,,,,25,71,2,2,,,,,,,0.014721,,
40,退休,C2,增值,pending,,,,,25,69,3,3,,,,,,,0.015177,,
41,退休,C2,传承,pending,,,,,24,71,2,3,,,,,,,0.014848,,
42,刚毕业,C3,保值,pending,,,,,3,43,23,31,,,,,,,0.066013,,
43,刚毕业,C3,增值,pending,,,,,3,25,25,47,,,,,,,0.078661,,
44,刚毕业,C3,传承,pending,,,,,3,32,24,41,,,,,,,0.073162,,
45,单身青年,C3,保值,pending,,,,,4,45,23,28,,,,,,,0.064754,,
46,单身青年,C3,增值,pending,,,,,4,28,25,43,,,,,,,0.07645,,
47,单身青年,C3,传承,pending,,,,,4,35,24,37,,,,,,,0.071116,,
48,二人世界,C3,保值,pending,,,,,7,46,21,26,,,,,,,0.059272,,
49,二人世界,C3,增值,pending,,,,,7,30,23,40,,,,,,,0.070488,,
50,二人世界,C3,传承,pending,,,,,7,36,23,34,,,,,,,0.067428,,
51,小孩学前,C3,保值,pending,,,,,10,49,21,20,,,,,,,0.057104,,
52,小孩学前,C3,增值,pending,,,,,10,35,23,32,,,,,,,0.06653,,
53,小孩学前,C3,传承,pending,,,,,10,41,22,27,,,,,,,0.062039,,
54,小孩成年前,C3,保值,pending,,,,,8,57,21,14,,,,,,,0.055491,,
55,小孩成年前,C3,增值,pending,,,,,8,46,25,21,,,,,,,0.067191,,
56,小孩成年前,C3,传承,pending,,,,,8,50,22,20,,,,,,,0.059527,,
57,子女成年,C3,保值,pending,,,,,6,66,19,9,,,,,,,0.049673,,
58,子女成年,C3,增值,pending,,,,,6,56,31,7,,,,,,,0.079921,,
59,子女成年,C3,传承,pending,,,,,6,60,21,13,,,,,,,0.055291,,
60,退休,C3,保值,pending,,,,,12,69,19,0,,,,,,,0.049115,,
61,退休,C3,增值,pending,,,,,12,63,23,2,,,,,,,0.05916,,
62,退休,C3,传承,pending,,,,,12,66,17,5,,,,,,,0.044235,,
63,刚毕业,C4,保值,pending,,,,,3,34,32,31,,,,,,,0.087609,,
64,刚毕业,C4,增值,pending,,,,,3,12,35,50,,,,,,,0.102719,,
65,刚毕业,C4,传承,pending,,,,,3,21,34,42,,,,,,,0.096724,,
66,单身青年,C4,保值,pending,,,,,4,36,33,27,,,,,,,0.08884,,
